nohup: ignoring input
wandb: [wandb.login()] Using explicit session credentials for https://api.wandb.ai.
wandb: Appending key for api.wandb.ai to your netrc file: /home/santiago/.netrc
wandb: Currently logged in as: santiago-florido (TAU-Frugal) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.28.0
wandb: Run data is saved locally in results/wandb/run-20260713_121559-1cgjxj5o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run mnist_fgd_grow_3x10_th050
wandb: ⭐️ View project at https://wandb.ai/TAU-Frugal/stable-tiny
wandb: 🚀 View run at https://wandb.ai/TAU-Frugal/stable-tiny/runs/1cgjxj5o
Using device: cuda
Training method: fgd_approx
W&B logging enabled: project=stable-tiny, run=mnist_fgd_grow_3x10_th050
Original model:
LinearGrowingModule(LinearGrowingModule(Layer 0))(in_features=784, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 1))(in_features=10, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 2))(in_features=10, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 3))(in_features=10, out_features=10, use_bias=True)
[INIT] Epoch 0, train_loss=0.2919, validation_loss=0.2897, test_loss=0.2889, train_acc=0.093, validation_acc=0.105, test_acc=0.103
[FGD] Epoch 84, train_loss=0.0257, validation_loss=0.0272, test_loss=0.0276 (-0.0000), train_acc=0.880, validation_acc=0.873, test_acc=0.871, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 85, train_loss=0.0257, validation_loss=0.0272, test_loss=0.0276 (-0.0000), train_acc=0.880, validation_acc=0.874, test_acc=0.871, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 86, train_loss=0.0257, validation_loss=0.0271, test_loss=0.0276 (-0.0000), train_acc=0.880, validation_acc=0.874, test_acc=0.871, lr=7.813e-05, rel_err=0.050, selected_layer=0
[FGD] Epoch 87, train_loss=0.0257, validation_loss=0.0271, test_loss=0.0276 (-0.0000), train_acc=0.880, validation_acc=0.875, test_acc=0.871, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 88, train_loss=0.0257, validation_loss=0.0271, test_loss=0.0276 (-0.0000), train_acc=0.880, validation_acc=0.874, test_acc=0.871, lr=7.813e-05, rel_err=0.050, selected_layer=0
[FGD] Epoch 89, train_loss=0.0257, validation_loss=0.0271, test_loss=0.0276 (-0.0000), train_acc=0.881, validation_acc=0.875, test_acc=0.871, lr=7.813e-05, rel_err=0.049, selected_layer=0
[FGD] Epoch 90, train_loss=0.0256, validation_loss=0.0271, test_loss=0.0275 (-0.0000), train_acc=0.881, validation_acc=0.875, test_acc=0.871, lr=7.813e-05, rel_err=0.050, selected_layer=0
[FGD] Epoch 91, train_loss=0.0256, validation_loss=0.0271, test_loss=0.0275 (-0.0000), train_acc=0.881, validation_acc=0.875, test_acc=0.871, lr=7.813e-05, rel_err=0.050, selected_layer=0
[FGD] Epoch 92, train_loss=0.0256, validation_loss=0.0271, test_loss=0.0275 (-0.0000), train_acc=0.881, validation_acc=0.875, test_acc=0.871, lr=7.813e-05, rel_err=0.050, selected_layer=0
[FGD] Epoch 93, train_loss=0.0256, validation_loss=0.0271, test_loss=0.0275 (-0.0000), train_acc=0.881, validation_acc=0.875, test_acc=0.871, lr=7.813e-05, rel_err=0.050, selected_layer=0
[FGD] Epoch 94, train_loss=0.0256, validation_loss=0.0270, test_loss=0.0275 (-0.0000), train_acc=0.881, validation_acc=0.874, test_acc=0.871, lr=7.813e-05, rel_err=0.050, selected_layer=0
[FGD] Epoch 95, train_loss=0.0256, validation_loss=0.0270, test_loss=0.0275 (-0.0000), train_acc=0.881, validation_acc=0.874, test_acc=0.871, lr=7.813e-05, rel_err=0.050, selected_layer=0
[FGD] Epoch 96, train_loss=0.0256, validation_loss=0.0270, test_loss=0.0275 (-0.0000), train_acc=0.881, validation_acc=0.874, test_acc=0.871, lr=7.813e-05, rel_err=0.050, selected_layer=0
[FGD] Epoch 97, train_loss=0.0256, validation_loss=0.0270, test_loss=0.0275 (-0.0000), train_acc=0.881, validation_acc=0.874, test_acc=0.870, lr=7.813e-05, rel_err=0.050, selected_layer=0
